bucket,vertex,k,communities,answer_edges,indexed_ms,indexfree_ms,speedup
p60_70,15247,5,0,0,0.000125,0.000291,2.33
p60_70,14325,5,0,0,0.000125,0.000167,1.34
p60_70,7579,5,0,0,0.000167,0.000333,1.99
p60_70,12743,5,0,0,0.000291,0.000292,1.00
p60_70,17126,5,0,0,0.000500,0.000208,0.42
p60_70,7386,5,0,0,0.000125,0.000375,3.00
p60_70,15161,5,0,0,0.000250,0.000208,0.83
p60_70,7014,5,0,0,0.000125,0.000375,3.00
p60_70,6170,5,0,0,0.000291,0.000292,1.00
p60_70,4826,5,0,0,0.000291,0.000333,1.14
p60_70,5087,5,0,0,0.000125,0.000291,2.33
p60_70,7632,5,0,0,0.000167,0.000459,2.75
p60_70,10445,5,0,0,0.000334,0.000375,1.12
p60_70,12071,5,0,0,0.000125,0.000333,2.66
p60_70,14543,5,0,0,0.000125,0.000375,3.00
p60_70,5268,5,0,0,0.000125,0.000292,2.34
p60_70,10178,5,0,0,0.000125,0.000250,2.00
p60_70,9631,5,0,0,0.000166,0.000500,3.01
p60_70,12290,5,0,0,0.000250,0.000208,0.83
p60_70,11626,5,0,0,0.000125,0.000333,2.66
p70_80,21635,5,0,0,0.000167,0.000209,1.25
p70_80,294,5,0,0,0.000125,0.000291,2.33
p70_80,2803,5,0,0,0.000292,0.000250,0.86
p70_80,734,5,0,0,0.000250,0.000334,1.34
p70_80,22848,5,0,0,0.000292,0.000291,1.00
p70_80,20779,5,0,0,0.000208,0.000459,2.21
p70_80,17729,5,0,0,0.000291,0.000208,0.71
p70_80,20106,5,0,0,0.000167,0.000333,1.99
p70_80,1347,5,0,0,0.000208,0.000167,0.80
p70_80,22394,5,0,0,0.000125,0.000416,3.33
p70_80,21333,5,0,0,0.000167,0.000292,1.75
p70_80,2203,5,0,0,0.000125,0.000334,2.67
p70_80,18746,5,0,0,0.000167,0.000166,0.99
p70_80,23950,5,0,0,0.000209,0.000375,1.79
p70_80,20319,5,0,0,0.000291,0.000250,0.86
p70_80,2120,5,0,0,0.000125,0.000250,2.00
p70_80,1346,5,0,0,0.000125,0.000167,1.34
p70_80,19011,5,0,0,0.000334,0.000291,0.87
p70_80,22599,5,0,0,0.000250,0.000458,1.83
p70_80,19184,5,0,0,0.000167,0.000375,2.25
p70_80,735,5,0,0,0.000250,0.000209,0.84
p70_80,22696,5,0,0,0.000125,0.000166,1.33
p70_80,25599,5,0,0,0.000208,0.000334,1.61
p70_80,23490,5,0,0,0.000167,0.000208,1.25
p70_80,23968,5,0,0,0.000167,0.000375,2.25
p70_80,24463,5,0,0,0.000209,0.000208,1.00
p70_80,20953,5,0,0,0.000125,0.000167,1.34
p70_80,2356,5,0,0,0.000250,0.000250,1.00
p70_80,123,5,0,0,0.000166,0.000250,1.51
p70_80,1862,5,0,0,0.000250,0.000208,0.83
p70_80,22436,5,0,0,0.000166,0.000417,2.51
p70_80,24944,5,0,0,0.000167,0.000333,1.99
p70_80,864,5,0,0,0.000166,0.000375,2.26
p70_80,26067,5,0,0,0.000167,0.000250,1.50
p70_80,2561,5,0,0,0.000125,0.000167,1.34
p70_80,23137,5,0,0,0.000250,0.000291,1.16
p70_80,22239,5,0,0,0.000125,0.000333,2.66
p70_80,1075,5,0,0,0.000166,0.000584,3.52
p70_80,2059,5,0,0,0.000166,0.000375,2.26
p70_80,23786,5,0,0,0.000458,0.000291,0.64
p70_80,22503,5,0,0,0.000167,0.000209,1.25
p70_80,1915,5,0,0,0.000209,0.000167,0.80
p70_80,19507,5,0,0,0.000292,0.000292,1.00
p70_80,71,5,0,0,0.000250,0.000209,0.84
p70_80,1551,5,0,0,0.000167,0.000209,1.25
p70_80,22765,5,0,0,0.000292,0.000375,1.28
p70_80,22530,5,0,0,0.000208,0.000292,1.40
p70_80,20434,5,0,0,0.000166,0.000333,2.01
p70_80,98,5,0,0,0.000167,0.000417,2.50
p70_80,20309,5,0,0,0.000250,0.000167,0.67
p70_80,1187,5,0,0,0.000334,0.000250,0.75
p70_80,25251,5,0,0,0.000125,0.000292,2.34
p70_80,20553,5,0,0,0.000333,0.000250,0.75
p70_80,284,5,0,0,0.000375,0.000250,0.67
p70_80,375,5,0,0,0.000292,0.000167,0.57
p70_80,23387,5,0,0,0.000167,0.000375,2.25
p70_80,22832,5,0,0,0.000209,0.000167,0.80
p70_80,25138,5,0,0,0.000125,0.000250,2.00
p70_80,20253,5,0,0,0.000166,0.000208,1.25
p70_80,20538,5,0,0,0.000292,0.000208,0.71
p70_80,22404,5,0,0,0.000416,0.000292,0.70
p70_80,18580,5,0,0,0.000208,0.000208,1.00
p70_80,26021,5,0,0,0.000167,0.000292,1.75
p70_80,20616,5,0,0,0.000375,0.000292,0.78
p70_80,20229,5,0,0,0.000291,0.000416,1.43
p70_80,20537,5,0,0,0.000166,0.000125,0.75
p70_80,21167,5,0,0,0.000250,0.000333,1.33
p70_80,20954,5,0,0,0.000375,0.000250,0.67
p70_80,23757,5,0,0,0.000250,0.000417,1.67
p70_80,18596,5,0,0,0.000292,0.000292,1.00
p70_80,19219,5,0,0,0.000250,0.000375,1.50
p70_80,19464,5,0,0,0.000167,0.000250,1.50
p70_80,20215,5,0,0,0.000208,0.000292,1.40
p70_80,21596,5,0,0,0.000167,0.000500,2.99
p70_80,25877,5,0,0,0.000167,0.000250,1.50
p70_80,19466,5,0,0,0.000167,0.000292,1.75
p70_80,25977,5,0,0,0.000208,0.000458,2.20
p70_80,3074,5,0,0,0.000209,0.000125,0.60
p70_80,18383,5,0,0,0.000166,0.000292,1.76
p70_80,22048,5,0,0,0.000125,0.000334,2.67
p70_80,21814,5,0,0,0.000166,0.000459,2.77
p70_80,21154,5,0,0,0.000209,0.000416,1.99
p70_80,23758,5,0,0,0.000166,0.000292,1.76
p70_80,22720,5,0,0,0.000167,0.000333,1.99
p70_80,1561,5,0,0,0.000250,0.000375,1.50
p70_80,18338,5,0,0,0.000208,0.000292,1.40
p70_80,20008,5,0,0,0.000125,0.000250,2.00
p70_80,1105,5,0,0,0.000250,0.000125,0.50
p70_80,22109,5,0,0,0.000167,0.000250,1.50
p70_80,3186,5,0,0,0.000292,0.000292,1.00
p70_80,315,5,0,0,0.000291,0.000250,0.86
p70_80,24250,5,0,0,0.000250,0.000375,1.50
p70_80,25891,5,0,0,0.000125,0.000208,1.66
p70_80,17854,5,0,0,0.000125,0.000458,3.66
p70_80,254,5,0,0,0.000208,0.000167,0.80
p70_80,24163,5,0,0,0.000334,0.000250,0.75
p70_80,21563,5,0,0,0.000250,0.000541,2.16
p70_80,22791,5,0,0,0.000167,0.000250,1.50
p70_80,17599,5,0,0,0.000125,0.000333,2.66
p70_80,3067,5,0,0,0.000125,0.000125,1.00
p80_90,9895,5,0,0,0.000125,0.000125,1.00
p80_90,11971,5,0,0,0.000333,0.000250,0.75
p80_90,12798,5,0,0,0.000208,0.000250,1.20
p80_90,8302,5,0,0,0.000250,0.000166,0.66
p80_90,14664,5,0,0,0.000292,0.000250,0.86
p80_90,8299,5,0,0,0.000209,0.001375,6.58
p80_90,9133,5,0,0,0.000125,0.000166,1.33
p80_90,13321,5,0,0,0.000625,0.000292,0.47
p80_90,14619,5,0,0,0.000167,0.000458,2.74
p80_90,3946,5,0,0,0.000375,0.000125,0.33
p80_90,11968,5,0,0,0.000167,0.000208,1.25
p80_90,10763,5,0,0,0.000333,0.000417,1.25
p80_90,12473,5,0,0,0.000417,0.000250,0.60
p80_90,11579,5,0,0,0.000167,0.000417,2.50
p80_90,5231,5,0,0,0.000292,0.000292,1.00
p80_90,12852,5,0,0,0.000208,0.000125,0.60
p80_90,8504,5,0,0,0.000250,0.000250,1.00
p80_90,13815,5,0,0,0.000125,0.000333,2.66
p80_90,4625,5,0,0,0.000167,0.000333,1.99
p80_90,14763,5,0,0,0.000333,0.000167,0.50
p80_90,10158,5,0,0,0.000292,0.000166,0.57
p80_90,9039,5,0,0,0.000167,0.000167,1.00
p80_90,3532,5,0,0,0.000250,0.000250,1.00
p80_90,13675,5,0,0,0.000250,0.000166,0.66
p80_90,7647,5,0,0,0.000333,0.000250,0.75
p80_90,9890,5,0,0,0.000125,0.000250,2.00
p80_90,9337,5,0,0,0.000333,0.000292,0.88
p80_90,10559,5,0,0,0.000334,0.000250,0.75
p80_90,14711,5,0,0,0.000417,0.000375,0.90
p80_90,4181,5,0,0,0.000166,0.000291,1.75
p80_90,10433,5,0,0,0.000333,0.000292,0.88
p80_90,8179,5,0,0,0.000416,0.000292,0.70
p80_90,4643,5,0,0,0.000291,0.000250,0.86
p80_90,13202,5,0,0,0.000292,0.000292,1.00
